"Pop"	"Treat"	"Pop_Treat"	"Tube"	"ID"	"Age"	"Density"	"Pupate"	"Cohort"	"ID_Cohort"
"1"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A1"	"A1_Ctrl"	10	4	1	1	"A1_Ctrl_1"
"2"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A1"	"A1_Ctrl"	11	4	1	1	"A1_Ctrl_1"
"3"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A1"	"A1_Ctrl"	12	4	1	1	"A1_Ctrl_1"
"4"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A1"	"A1_Ctrl"	12	4	1	1	"A1_Ctrl_1"
"5"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A2"	"A2_Ctrl"	9	22	1	1	"A2_Ctrl_1"
"6"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A2"	"A2_Ctrl"	10	22	1	1	"A2_Ctrl_1"
"7"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A2"	"A2_Ctrl"	10	22	1	1	"A2_Ctrl_1"
"8"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A2"	"A2_Ctrl"	10	22	1	1	"A2_Ctrl_1"
"9"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A2"	"A2_Ctrl"	11	22	1	1	"A2_Ctrl_1"
"10"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A2"	"A2_Ctrl"	11	22	1	1	"A2_Ctrl_1"
"11"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A2"	"A2_Ctrl"	11	22	1	1	"A2_Ctrl_1"
"12"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A2"	"A2_Ctrl"	11	22	1	1	"A2_Ctrl_1"
"13"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A2"	"A2_Ctrl"	11	22	1	1	"A2_Ctrl_1"
"14"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A2"	"A2_Ctrl"	11	22	1	1	"A2_Ctrl_1"
"15"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A2"	"A2_Ctrl"	11	22	1	1	"A2_Ctrl_1"
"16"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A2"	"A2_Ctrl"	11	22	1	1	"A2_Ctrl_1"
"17"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A2"	"A2_Ctrl"	11	22	1	1	"A2_Ctrl_1"
"18"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A2"	"A2_Ctrl"	12	22	1	1	"A2_Ctrl_1"
"19"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A2"	"A2_Ctrl"	12	22	1	1	"A2_Ctrl_1"
"20"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A2"	"A2_Ctrl"	12	22	1	1	"A2_Ctrl_1"
"21"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A2"	"A2_Ctrl"	12	22	1	1	"A2_Ctrl_1"
"22"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A2"	"A2_Ctrl"	12	22	1	1	"A2_Ctrl_1"
"23"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A2"	"A2_Ctrl"	12	22	1	1	"A2_Ctrl_1"
"24"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A2"	"A2_Ctrl"	13	22	1	1	"A2_Ctrl_1"
"25"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A2"	"A2_Ctrl"	13	22	1	1	"A2_Ctrl_1"
"26"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A2"	"A2_Ctrl"	13	22	1	1	"A2_Ctrl_1"
"27"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A3"	"A3_Ctrl"	10	20	1	1	"A3_Ctrl_1"
"28"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A3"	"A3_Ctrl"	10	20	1	1	"A3_Ctrl_1"
"29"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A3"	"A3_Ctrl"	10	20	1	1	"A3_Ctrl_1"
"30"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A3"	"A3_Ctrl"	10	20	1	1	"A3_Ctrl_1"
