"Pop"	"Treat"	"Pop_Treat"	"Tube"	"ID"	"Age"	"Density"	"Pupate"	"Cohort"	"ID_Cohort"
"46"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A11"	"A11_Ctrl"	8	15	1	1	"A11_Ctrl_1"
"47"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A11"	"A11_Ctrl"	9	15	1	1	"A11_Ctrl_1"
"48"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A11"	"A11_Ctrl"	9	15	1	1	"A11_Ctrl_1"
"49"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A11"	"A11_Ctrl"	9	15	1	1	"A11_Ctrl_1"
"50"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A11"	"A11_Ctrl"	10	15	1	1	"A11_Ctrl_1"
"51"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A11"	"A11_Ctrl"	11	15	1	1	"A11_Ctrl_1"
"52"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A11"	"A11_Ctrl"	11	15	1	1	"A11_Ctrl_1"
"53"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A11"	"A11_Ctrl"	12	15	1	1	"A11_Ctrl_1"
"54"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A11"	"A11_Ctrl"	12	15	1	1	"A11_Ctrl_1"
"55"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A11"	"A11_Ctrl"	12	15	1	1	"A11_Ctrl_1"
"56"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A11"	"A11_Ctrl"	12	15	1	1	"A11_Ctrl_1"
"57"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A11"	"A11_Ctrl"	12	15	1	1	"A11_Ctrl_1"
"58"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A11"	"A11_Ctrl"	13	15	1	1	"A11_Ctrl_1"
"59"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A12"	"A12_Ctrl"	8	10	1	1	"A12_Ctrl_1"
"60"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A12"	"A12_Ctrl"	10	10	1	1	"A12_Ctrl_1"
"61"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A12"	"A12_Ctrl"	10	10	1	1	"A12_Ctrl_1"
"62"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A12"	"A12_Ctrl"	10	10	1	1	"A12_Ctrl_1"
"63"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A12"	"A12_Ctrl"	10	10	1	1	"A12_Ctrl_1"
"64"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A12"	"A12_Ctrl"	11	10	1	1	"A12_Ctrl_1"
"65"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A12"	"A12_Ctrl"	11	10	1	1	"A12_Ctrl_1"
"66"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A12"	"A12_Ctrl"	11	10	1	1	"A12_Ctrl_1"
"67"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A12"	"A12_Ctrl"	11	10	1	1	"A12_Ctrl_1"
"68"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A12"	"A12_Ctrl"	11	10	1	1	"A12_Ctrl_1"
"69"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A13"	"A13_Ctrl"	8	4	1	1	"A13_Ctrl_1"
"70"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A13"	"A13_Ctrl"	8	4	1	1	"A13_Ctrl_1"
"71"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A13"	"A13_Ctrl"	9	4	1	1	"A13_Ctrl_1"
"72"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A13"	"A13_Ctrl"	13	4	1	1	"A13_Ctrl_1"
"73"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A14"	"A14_Ctrl"	10	6	1	1	"A14_Ctrl_1"
"74"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A14"	"A14_Ctrl"	10	6	1	1	"A14_Ctrl_1"
"75"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A14"	"A14_Ctrl"	10	6	1	1	"A14_Ctrl_1"
"76"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A14"	"A14_Ctrl"	11	6	1	1	"A14_Ctrl_1"
"77"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A14"	"A14_Ctrl"	12	6	1	1	"A14_Ctrl_1"
"78"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A14"	"A14_Ctrl"	13	6	1	1	"A14_Ctrl_1"
"79"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A15"	"A15_Ctrl"	8	5	1	1	"A15_Ctrl_1"
"80"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A15"	"A15_Ctrl"	9	5	1	1	"A15_Ctrl_1"
"81"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A15"	"A15_Ctrl"	10	5	1	1	"A15_Ctrl_1"
"82"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A15"	"A15_Ctrl"	10	5	1	1	"A15_Ctrl_1"
"83"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A15"	"A15_Ctrl"	13	5	1	1	"A15_Ctrl_1"
"84"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A16"	"A16_Ctrl"	8	13	1	1	"A16_Ctrl_1"
"85"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A16"	"A16_Ctrl"	9	13	1	1	"A16_Ctrl_1"
"86"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A16"	"A16_Ctrl"	9	13	1	1	"A16_Ctrl_1"
"87"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A16"	"A16_Ctrl"	9	13	1	1	"A16_Ctrl_1"
"88"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A16"	"A16_Ctrl"	11	13	1	1	"A16_Ctrl_1"
"89"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A16"	"A16_Ctrl"	11	13	1	1	"A16_Ctrl_1"
"90"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A16"	"A16_Ctrl"	12	13	1	1	"A16_Ctrl_1"
"91"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A16"	"A16_Ctrl"	12	13	1	1	"A16_Ctrl_1"
"92"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A16"	"A16_Ctrl"	12	13	1	1	"A16_Ctrl_1"
"93"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A16"	"A16_Ctrl"	12	13	1	1	"A16_Ctrl_1"
"94"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A16"	"A16_Ctrl"	12	13	1	1	"A16_Ctrl_1"
"95"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A16"	"A16_Ctrl"	13	13	1	1	"A16_Ctrl_1"
"96"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A16"	"A16_Ctrl"	14	13	1	1	"A16_Ctrl_1"
"97"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A17"	"A17_Ctrl"	9	11	1	1	"A17_Ctrl_1"
"98"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A17"	"A17_Ctrl"	9	11	1	1	"A17_Ctrl_1"
"99"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A17"	"A17_Ctrl"	9	11	1	1	"A17_Ctrl_1"
"100"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A17"	"A17_Ctrl"	9	11	1	1	"A17_Ctrl_1"
"101"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A17"	"A17_Ctrl"	10	11	1	1	"A17_Ctrl_1"
"102"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A17"	"A17_Ctrl"	11	11	1	1	"A17_Ctrl_1"
"103"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A17"	"A17_Ctrl"	11	11	1	1	"A17_Ctrl_1"
"104"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A17"	"A17_Ctrl"	11	11	1	1	"A17_Ctrl_1"
"105"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A17"	"A17_Ctrl"	12	11	1	1	"A17_Ctrl_1"
"106"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A17"	"A17_Ctrl"	13	11	1	1	"A17_Ctrl_1"
"107"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A17"	"A17_Ctrl"	14	11	1	1	"A17_Ctrl_1"
"108"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A18"	"A18_Ctrl"	9	3	1	1	"A18_Ctrl_1"
"109"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A18"	"A18_Ctrl"	10	3	1	1	"A18_Ctrl_1"
"110"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A18"	"A18_Ctrl"	11	3	1	1	"A18_Ctrl_1"
"111"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A19"	"A19_Ctrl"	8	12	1	1	"A19_Ctrl_1"
"112"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A19"	"A19_Ctrl"	8	12	1	1	"A19_Ctrl_1"
"113"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A19"	"A19_Ctrl"	9	12	1	1	"A19_Ctrl_1"
"114"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A19"	"A19_Ctrl"	9	12	1	1	"A19_Ctrl_1"
"115"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A19"	"A19_Ctrl"	9	12	1	1	"A19_Ctrl_1"
"116"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A19"	"A19_Ctrl"	9	12	1	1	"A19_Ctrl_1"
"117"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A19"	"A19_Ctrl"	9	12	1	1	"A19_Ctrl_1"
"118"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A19"	"A19_Ctrl"	10	12	1	1	"A19_Ctrl_1"
"119"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A19"	"A19_Ctrl"	11	12	1	1	"A19_Ctrl_1"
"120"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A19"	"A19_Ctrl"	13	12	1	1	"A19_Ctrl_1"
"121"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A19"	"A19_Ctrl"	13	12	1	1	"A19_Ctrl_1"
"122"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A19"	"A19_Ctrl"	13	12	1	1	"A19_Ctrl_1"
"123"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A20"	"A20_Ctrl"	8	6	1	1	"A20_Ctrl_1"
"124"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A20"	"A20_Ctrl"	9	6	1	1	"A20_Ctrl_1"
"125"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A20"	"A20_Ctrl"	9	6	1	1	"A20_Ctrl_1"
"126"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A20"	"A20_Ctrl"	9	6	1	1	"A20_Ctrl_1"
"127"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A20"	"A20_Ctrl"	9	6	1	1	"A20_Ctrl_1"
"128"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A20"	"A20_Ctrl"	10	6	1	1	"A20_Ctrl_1"
"129"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A21"	"A21_Ctrl"	8	8	1	1	"A21_Ctrl_1"
"130"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A21"	"A21_Ctrl"	8	8	1	1	"A21_Ctrl_1"
"131"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A21"	"A21_Ctrl"	8	8	1	1	"A21_Ctrl_1"
"132"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A21"	"A21_Ctrl"	9	8	1	1	"A21_Ctrl_1"
"133"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A21"	"A21_Ctrl"	9	8	1	1	"A21_Ctrl_1"
"134"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A21"	"A21_Ctrl"	10	8	1	1	"A21_Ctrl_1"
"135"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A21"	"A21_Ctrl"	10	8	1	1	"A21_Ctrl_1"
"136"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A21"	"A21_Ctrl"	12	8	1	1	"A21_Ctrl_1"
