Pop	Treat	Pop_Treat	Tube	ID	Day	eggs	pupa	imag	EMiscount	PMiscount
Akaa	Ctrl	Akaa_Ctrl	A23	A23_Ctrl	13_14	33	28	27	0	0
Akaa	Ctrl	Akaa_Ctrl	A24	A24_Ctrl	13_14	49	39	35	0	0
Akaa	Ctrl	Akaa_Ctrl	A25	A25_Ctrl	13_14	38	22	19	0	0
Akaa	T37	Akaa_T37	A1	A1_T37	13_14	43	37	37	0	0
Akaa	T37	Akaa_T37	A2	A2_T37	13_14	25	20	19	0	0
Akaa	T37	Akaa_T37	A3	A3_T37	13_14	44	40	39	0	0
Akaa	T37	Akaa_T37	A4	A4_T37	13_14	49	49	45	1	0
Akaa	T37	Akaa_T37	A5	A5_T37	13_14	50	40	35	0	0
Akaa	T37	Akaa_T37	A6	A6_T37	13_14	31	22	21	0	0
Akaa	T37	Akaa_T37	A7	A7_T37	13_14	20	20	19	0	0
Akaa	T37	Akaa_T37	A8	A8_T37	13_14	18	18	17	5	0
Akaa	T37	Akaa_T37	A9	A9_T37	13_14	14	14	14	2	0
Akaa	T37	Akaa_T37	A10	A10_T37	13_14	30	30	28	3	0
Akaa	T37	Akaa_T37	A11	A11_T37	13_14	31	28	25	0	0
Akaa	T37	Akaa_T37	A12	A12_T37	13_14	27	26	26	0	0
Akaa	T37	Akaa_T37	A13	A13_T37	13_14	34	34	33	2	0
Akaa	T37	Akaa_T37	A14	A14_T37	13_14	47	38	38	0	0
Akaa	T37	Akaa_T37	A15	A15_T37	13_14	42	38	36	0	0
Akaa	T37	Akaa_T37	A16	A16_T37	13_14	31	30	28	0	0
Akaa	T37	Akaa_T37	A17	A17_T37	13_14	31	31	30	1	0
Akaa	T37	Akaa_T37	A18	A18_T37	13_14	33	26	26	0	0
Akaa	T37	Akaa_T37	A19	A19_T37	13_14	40	37	35	0	0
Akaa	T37	Akaa_T37	A20	A20_T37	13_14	42	42	38	2	0
Akaa	T37	Akaa_T37	A21	A21_T37	13_14	49	9	8	0	0
Akaa	T37	Akaa_T37	A22	A22_T37	13_14	0	0	0	0	0
Akaa	T37	Akaa_T37	A23	A23_T37	13_14	37	37	35	0	0
Akaa	T37	Akaa_T37	A24	A24_T37	13_14	0	0	0	0	0
Akaa	T37	Akaa_T37	A25	A25_T37	13_14	28	28	26	0	0
Manz	Ctrl	Manz_Ctrl	M1	M1_Ctrl	13_14	17	10	10	0	0
Manz	Ctrl	Manz_Ctrl	M2	M2_Ctrl	13_14	51	51	46	1	0
Manz	Ctrl	Manz_Ctrl	M3	M3_Ctrl	13_14	38	29	24	0	0
Manz	Ctrl	Manz_Ctrl	M4	M4_Ctrl	13_14	39	39	36	0	0
Manz	Ctrl	Manz_Ctrl	M5	M5_Ctrl	13_14	31	29	27	0	0
Manz	Ctrl	Manz_Ctrl	M6	M6_Ctrl	13_14	28	27	25	0	0
Manz	Ctrl	Manz_Ctrl	M7	M7_Ctrl	13_14	45	20	17	3	0
Manz	Ctrl	Manz_Ctrl	M8	M8_Ctrl	13_14	41	41	37	10	0
Manz	Ctrl	Manz_Ctrl	M9	M9_Ctrl	13_14	25	25	25	0	0
Manz	Ctrl	Manz_Ctrl	M10	M10_Ctrl	13_14	40	30	27	0	0
Manz	Ctrl	Manz_Ctrl	M11	M11_Ctrl	13_14	25	24	23	0	0
Manz	Ctrl	Manz_Ctrl	M12	M12_Ctrl	13_14	32	27	25	0	0
Manz	Ctrl	Manz_Ctrl	M13	M13_Ctrl	13_14	36	29	27	0	0
Manz	Ctrl	Manz_Ctrl	M14	M14_Ctrl	13_14	33	3	3	0	0
Manz	Ctrl	Manz_Ctrl	M15	M15_Ctrl	13_14	32	21	19	0	0
Manz	Ctrl	Manz_Ctrl	M16	M16_Ctrl	13_14	33	19	17	0	0
Manz	Ctrl	Manz_Ctrl	M17	M17_Ctrl	13_14	40	30	27	0	0
Manz	Ctrl	Manz_Ctrl	M18	M18_Ctrl	13_14	48	25	22	0	0
Manz	Ctrl	Manz_Ctrl	M19	M19_Ctrl	13_14	49	29	25	0	0
Manz	Ctrl	Manz_Ctrl	M20	M20_Ctrl	13_14	18	18	18	1	0
Manz	Ctrl	Manz_Ctrl	M21	M21_Ctrl	13_14	51	48	43	0	0
Manz	Ctrl	Manz_Ctrl	M22	M22_Ctrl	13_14	0	0	0	0	0
Manz	Ctrl	Manz_Ctrl	M23	M23_Ctrl	13_14	0	0	0	0	0
Manz	Ctrl	Manz_Ctrl	M24	M24_Ctrl	13_14	40	36	34	0	0
Manz	Ctrl	Manz_Ctrl	M25	M25_Ctrl	13_14	0	0	0	0	0
Manz	T37	Manz_T37	M1	M1_T37	13_14	0	0	0	0	0
Manz	T37	Manz_T37	M2	M2_T37	13_14	7	0	0	0	0
Manz	T37	Manz_T37	M3	M3_T37	13_14	38	34	31	0	0
Manz	T37	Manz_T37	M4	M4_T37	13_14	32	23	21	0	0
Manz	T37	Manz_T37	M5	M5_T37	13_14	45	45	44	4	0
Manz	T37	Manz_T37	M6	M6_T37	13_14	54	45	41	0	0
Manz	T37	Manz_T37	M7	M7_T37	13_14	19	19	18	3	0
Manz	T37	Manz_T37	M8	M8_T37	13_14	30	22	21	0	0
Manz	T37	Manz_T37	M9	M9_T37	13_14	0	0	0	0	0
Manz	T37	Manz_T37	M10	M10_T37	13_14	52	45	45	0	1
Manz	T37	Manz_T37	M11	M11_T37	13_14	26	26	25	1	0
Manz	T37	Manz_T37	M12	M12_T37	13_14	14	14	13	5	0
Manz	T37	Manz_T37	M13	M13_T37	13_14	37	21	18	0	0
Manz	T37	Manz_T37	M14	M14_T37	13_14	39	36	35	0	0
Manz	T37	Manz_T37	M15	M15_T37	13_14	0	0	0	0	0
Manz	T37	Manz_T37	M16	M16_T37	13_14	41	41	37	9	0
Manz	T37	Manz_T37	M17	M17_T37	13_14	35	35	30	4	0
Manz	T37	Manz_T37	M18	M18_T37	13_14	3	0	0	0	0
Manz	T37	Manz_T37	M19	M19_T37	13_14	40	40	39	6	0
Manz	T37	Manz_T37	M20	M20_T37	13_14	33	22	20	0	0
Manz	T37	Manz_T37	M21	M21_T37	13_14	27	25	25	0	0
Manz	T37	Manz_T37	M22	M22_T37	13_14	0	0	0	0	0
Manz	T37	Manz_T37	M23	M23_T37	13_14	24	24	22	5	0
Manz	T37	Manz_T37	M24	M24_T37	13_14	30	30	29	2	0
Manz	T37	Manz_T37	M25	M25_T37	13_14	32	31	26	0	0
