Pop	Treat	Pop_Treat	Tube	ID	Day	eggs	pupa	imag	EMiscount
Akaa	Ctrl	Akaa_Ctrl	A6	A6_Ctrl	3_4	25	9	9	0
Akaa	Ctrl	Akaa_Ctrl	A7	A7_Ctrl	3_4	25	14	11	0
Akaa	Ctrl	Akaa_Ctrl	A8	A8_Ctrl	3_4	36	20	14	0
Akaa	Ctrl	Akaa_Ctrl	A9	A9_Ctrl	3_4	25	24	22	0
Akaa	Ctrl	Akaa_Ctrl	A10	A10_Ctrl	3_4	35	30	28	0
Akaa	Ctrl	Akaa_Ctrl	A11	A11_Ctrl	3_4	0	0	0	0
Akaa	Ctrl	Akaa_Ctrl	A12	A12_Ctrl	3_4	14	1	1	0
Akaa	Ctrl	Akaa_Ctrl	A13	A13_Ctrl	3_4	28	13	11	0
Akaa	Ctrl	Akaa_Ctrl	A14	A14_Ctrl	3_4	21	6	6	0
Akaa	Ctrl	Akaa_Ctrl	A15	A15_Ctrl	3_4	0	0	0	0
Akaa	Ctrl	Akaa_Ctrl	A16	A16_Ctrl	3_4	22	1	1	0
Akaa	Ctrl	Akaa_Ctrl	A17	A17_Ctrl	3_4	6	4	4	0
Akaa	Ctrl	Akaa_Ctrl	A18	A18_Ctrl	3_4	14	11	10	0
Akaa	T37	Akaa_T37	A1	A1_T37	3_4	18	6	5	0
Akaa	T37	Akaa_T37	A2	A2_T37	3_4	39	36	29	0
Akaa	T37	Akaa_T37	A3	A3_T37	3_4	18	16	16	0
Akaa	T37	Akaa_T37	A4	A4_T37	3_4	16	7	7	0
Akaa	T37	Akaa_T37	A5	A5_T37	3_4	19	15	14	0
Akaa	T37	Akaa_T37	A6	A6_T37	3_4	27	11	11	0
Akaa	T37	Akaa_T37	A7	A7_T37	3_4	23	10	9	0
Akaa	T37	Akaa_T37	A8	A8_T37	3_4	28	24	19	0
Akaa	T37	Akaa_T37	A9	A9_T37	3_4	16	15	11	0
Akaa	T37	Akaa_T37	A10	A10_T37	3_4	16	16	16	0
Akaa	T37	Akaa_T37	A11	A11_T37	3_4	22	2	2	0
Akaa	T37	Akaa_T37	A12	A12_T37	3_4	26	10	10	0
Akaa	T37	Akaa_T37	A13	A13_T37	3_4	28	14	13	0
Akaa	T37	Akaa_T37	A14	A14_T37	3_4	0	0	0	0
Akaa	T37	Akaa_T37	A15	A15_T37	3_4	26	14	11	0
Akaa	T37	Akaa_T37	A16	A16_T37	3_4	0	0	0	0
Akaa	T37	Akaa_T37	A17	A17_T37	3_4	35	13	12	0
Akaa	T37	Akaa_T37	A18	A18_T37	3_4	28	20	18	0
Manz	Ctrl	Manz_Ctrl	M1	M1_Ctrl	3_4	22	10	8	0
Manz	Ctrl	Manz_Ctrl	M2	M2_Ctrl	3_4	33	3	2	0
Manz	Ctrl	Manz_Ctrl	M3	M3_Ctrl	3_4	26	19	18	0
Manz	Ctrl	Manz_Ctrl	M4	M4_Ctrl	3_4	29	21	10	0
Manz	Ctrl	Manz_Ctrl	M5	M5_Ctrl	3_4	29	0	0	0
Manz	Ctrl	Manz_Ctrl	M6	M6_Ctrl	3_4	22	13	12	0
Manz	Ctrl	Manz_Ctrl	M7	M7_Ctrl	3_4	21	12	11	0
Manz	Ctrl	Manz_Ctrl	M8	M8_Ctrl	3_4	28	17	13	0
Manz	Ctrl	Manz_Ctrl	M9	M9_Ctrl	3_4	22	0	0	0
Manz	Ctrl	Manz_Ctrl	M10	M10_Ctrl	3_4	21	8	6	0
Manz	Ctrl	Manz_Ctrl	M11	M11_Ctrl	3_4	22	7	6	0
Manz	Ctrl	Manz_Ctrl	M12	M12_Ctrl	3_4	35	17	8	0
Manz	Ctrl	Manz_Ctrl	M13	M13_Ctrl	3_4	0	0	0	0
Manz	Ctrl	Manz_Ctrl	M14	M14_Ctrl	3_4	23	5	4	0
Manz	Ctrl	Manz_Ctrl	M15	M15_Ctrl	3_4	29	2	2	0
Manz	Ctrl	Manz_Ctrl	M16	M16_Ctrl	3_4	42	0	0	0
Manz	Ctrl	Manz_Ctrl	M17	M17_Ctrl	3_4	19	1	1	0
Manz	Ctrl	Manz_Ctrl	M18	M18_Ctrl	3_4	28	11	11	0
Manz	T37	Manz_T37	M1	M1_T37	3_4	19	19	12	0
Manz	T37	Manz_T37	M2	M2_T37	3_4	21	16	15	0
Manz	T37	Manz_T37	M3	M3_T37	3_4	23	16	13	0
Manz	T37	Manz_T37	M4	M4_T37	3_4	26	12	10	0
Manz	T37	Manz_T37	M5	M5_T37	3_4	7	5	4	0
Manz	T37	Manz_T37	M6	M6_T37	3_4	23	0	0	0
Manz	T37	Manz_T37	M7	M7_T37	3_4	20	1	1	0
Manz	T37	Manz_T37	M8	M8_T37	3_4	11	2	2	0
Manz	T37	Manz_T37	M9	M9_T37	3_4	30	8	8	0
Manz	T37	Manz_T37	M10	M10_T37	3_4	33	16	15	0
Manz	T37	Manz_T37	M11	M11_T37	3_4	31	9	6	0
Manz	T37	Manz_T37	M12	M12_T37	3_4	31	15	13	0
Manz	T37	Manz_T37	M13	M13_T37	3_4	27	3	0	0
Manz	T37	Manz_T37	M14	M14_T37	3_4	23	8	8	0
Manz	T37	Manz_T37	M15	M15_T37	3_4	23	1	1	0
Manz	T37	Manz_T37	M16	M16_T37	3_4	32	28	18	0
Manz	T37	Manz_T37	M17	M17_T37	3_4	21	7	4	0
Manz	T37	Manz_T37	M18	M18_T37	3_4	36	35	22	0
Akaa	Ctrl	Akaa_Ctrl	A1	A1_Ctrl	5_6	20	9	8	0
Akaa	Ctrl	Akaa_Ctrl	A2	A2_Ctrl	5_6	24	6	5	0
Akaa	Ctrl	Akaa_Ctrl	A3	A3_Ctrl	5_6	17	15	14	0
Akaa	Ctrl	Akaa_Ctrl	A4	A4_Ctrl	5_6	20	17	16	0
Akaa	Ctrl	Akaa_Ctrl	A5	A5_Ctrl	5_6	0	0	0	0
Akaa	Ctrl	Akaa_Ctrl	A6	A6_Ctrl	5_6	2	2	2	0
Akaa	Ctrl	Akaa_Ctrl	A7	A7_Ctrl	5_6	22	17	14	0
Akaa	Ctrl	Akaa_Ctrl	A8	A8_Ctrl	5_6	12	0	0	0
Akaa	Ctrl	Akaa_Ctrl	A9	A9_Ctrl	5_6	32	31	30	0
Akaa	Ctrl	Akaa_Ctrl	A10	A10_Ctrl	5_6	22	16	15	0
Akaa	Ctrl	Akaa_Ctrl	A11	A11_Ctrl	5_6	14	1	1	0
Akaa	Ctrl	Akaa_Ctrl	A12	A12_Ctrl	5_6	21	0	0	0
Akaa	Ctrl	Akaa_Ctrl	A13	A13_Ctrl	5_6	49	29	24	0
Akaa	Ctrl	Akaa_Ctrl	A14	A14_Ctrl	5_6	22	11	8	0
Akaa	Ctrl	Akaa_Ctrl	A15	A15_Ctrl	5_6	0	0	0	0
Akaa	Ctrl	Akaa_Ctrl	A16	A16_Ctrl	5_6	18	2	2	0
Akaa	Ctrl	Akaa_Ctrl	A17	A17_Ctrl	5_6	5	5	4	0
Akaa	Ctrl	Akaa_Ctrl	A18	A18_Ctrl	5_6	14	8	6	0
Akaa	T37	Akaa_T37	A1	A1_T37	5_6	22	9	8	0
Akaa	T37	Akaa_T37	A2	A2_T37	5_6	35	28	22	0
Akaa	T37	Akaa_T37	A3	A3_T37	5_6	15	10	9	0
Akaa	T37	Akaa_T37	A4	A4_T37	5_6	21	15	14	0
Akaa	T37	Akaa_T37	A5	A5_T37	5_6	14	2	2	0
Akaa	T37	Akaa_T37	A6	A6_T37	5_6	25	7	6	0
Akaa	T37	Akaa_T37	A7	A7_T37	5_6	35	9	8	0
Akaa	T37	Akaa_T37	A8	A8_T37	5_6	18	14	12	0
Akaa	T37	Akaa_T37	A9	A9_T37	5_6	13	12	12	0
Akaa	T37	Akaa_T37	A10	A10_T37	5_6	19	15	14	0
Akaa	T37	Akaa_T37	A11	A11_T37	5_6	26	0	0	0
Akaa	T37	Akaa_T37	A12	A12_T37	5_6	25	7	5	0
