target_id	length	eff_length	est_counts	tpm
FBtr0070181	4766	4562.16	3.26665	0.0236146
FBtr0113327	4995	4791.16	60.0532	0.413373
FBtr0331339	4766	4562.16	3.26665	0.0236146
FBtr0331340	4325	4121.16	2443.41	19.5535
FBtr0070182	2214	2010.16	4230	69.3997
FBtr0070183	2462	2258.16	83.6013	1.22097
FBtr0070184	462	262.542	4	0.502467
FBtr0070185	2073	1869.16	0	0
FBtr0342734	2540	2336.16	4	0.0564683
FBtr0070186	839	635.158	7	0.363466
FBtr0070187	2496	2292.16	19.1886	0.276087
FBtr0070188	1515	1311.16	2377.79	59.8089
FBtr0070189	1545	1341.16	4	0.098362
FBtr0331301	1301	1097.16	5	0.150296
FBtr0070195	987	783.158	0	0
FBtr0310459	500	299.031	0	0
FBtr0336688	1664	1460.16	52.3987	1.1835
FBtr0070197	1199	995.158	987.427	32.7235
FBtr0310611	1698	1494.16	11.9772	0.264367
FBtr0345513	2256	2052.16	46.5958	0.74883
FBtr0070198	783	579.158	0	0
FBtr0342727	1387	1183.16	0	0
FBtr0070199	1430	1226.16	1	0.0268968
FBtr0310612	1564	1360.16	0	0
FBtr0070200	1413	1209.16	3	0.0818249
FBtr0070201	2704	2500.16	75	0.98933
FBtr0345506	2801	2597.16	0	0
FBtr0070202	2579	2375.16	4	0.0555411
FBtr0070203	1603	1399.16	3992	94.096
FBtr0070204	819	615.158	38	2.03725
FBtr0070205	1884	1680.16	24.0023	0.471139
FBtr0342728	1744	1540.16	413.998	8.86502
FBtr0070206	1599	1395.16	0	0
FBtr0342729	980	776.158	0	0
FBtr0070207	6581	6377.16	10670	55.1803
FBtr0070209	2347	2143.16	3856.9	59.3515
FBtr0310619	1989	1785.16	152.1	2.80996
FBtr0070211	1002	798.158	8.93898	0.369357
FBtr0303284	910	706.158	16.061	0.750099
FBtr0070212	2460	2256.16	4036	58.9969
FBtr0070213	690	486.416	3	0.203404
FBtr0070215	3055	2851.16	2198.31	25.4281
FBtr0339772	3096	2892.16	61.8174	0.704914
FBtr0339773	2945	2741.16	0	0
FBtr0339774	3635	3431.16	289.874	2.78622
FBtr0070216	2708	2504.16	3998.92	52.6658
FBtr0070217	2853	2649.16	356.516	4.43832
FBtr0070218	2739	2535.16	76.5607	0.995975
FBtr0070219	3697	3493.16	16.2237	0.153172
FBtr0070222	3438	3234.16	26.8198	0.27349
FBtr0342735	3484	3280.16	0.740983	0.00745007
FBtr0342736	3220	3016.16	24.7326	0.270435
FBtr0342737	3585	3381.16	32.7165	0.319116
FBtr0330317	3511	3307.16	0	0
FBtr0330318	3726	3522.16	0	0
FBtr0330319	3254	3050.16	106.685	1.15353
FBtr0330320	4058	3854.16	28.3401	0.242504
FBtr0479843	3484	3280.16	0.740983	0.00745007
FBtr0070225	3784	3580.16	1524.11	14.0398
FBtr0332291	3799	3595.16	33.8562	0.310576
FBtr0332292	3603	3399.16	49.0323	0.475728
FBtr0070230	3382	3178.16	1907	19.7889
FBtr0070231	1713	1509.16	49	1.0708
FBtr0070233	831	627.158	774	40.7016
FBtr0070234	1114	910.158	1952	70.7311
FBtr0070235	3623	3419.16	2804.45	27.0506
FBtr0342738	3887	3683.16	990.546	8.86955
FBtr0332287	3620	3416.16	5.42878e-05	5.24097e-07
FBtr0070236	2319	2115.16	1375.29	21.4437
FBtr0070237	1374	1170.16	57.7076	1.62643
FBtr0332288	2243	2039.16	0	0
FBtr0070238	4457	4253.16	0	0
FBtr0342730	4397	4193.16	90	0.707862
FBtr0070239	5365	5161.16	2689.61	17.1866
FBtr0070241	4274	4070.16	186.631	1.51224
FBtr0342731	5323	5119.16	83.2198	0.536136
FBtr0310282	5414	5210.16	0	0
FBtr0310283	5157	4953.16	0	0
FBtr0303264	5470	5266.16	97.5387	0.610844
FBtr0302877	404	208.685	0	0
FBtr0070244	7025	6821.16	125.5	0.606782
FBtr0330391	7025	6821.16	125.5	0.606782
FBtr0345507	6975	6771.16	0	0
FBtr0070245	2890	2686.16	1226	15.0524
FBtr0070250	1487	1283.16	659.266	16.9445
FBtr0345522	3018	2814.16	25.7336	0.301578
FBtr0070251	2159	1955.16	1	0.0168681
FBtr0070252	1638	1434.16	2	0.0459918
FBtr0070253	859	655.158	116.564	5.86767
FBtr0339576	905	701.158	29.8943	1.40611
FBtr0339577	855	651.158	67.5273	3.42011
FBtr0300352	799	595.158	0	0
FBtr0345508	1474	1270.16	22.7183	0.589881
FBtr0070254	753	549.158	45.2962	2.72027
FBtr0070257	1082	878.158	1	0.0375556
FBtr0070259	2082	1878.16	2372.78	41.6651
FBtr0339589	2672	2468.16	319.184	4.26496
FBtr0070260	3254	3050.16	80.7171	0.872752
FBtr0339591	4686	4482.16	115.81	0.85213
FBtr0339590	2776	2572.16	4375.47	56.1015
FBtr0070269	3161	2957.16	1084	12.0893
FBtr0070270	2540	2336.16	1154.6	16.2997
FBtr0333115	3038	2834.16	155.765	1.81256
FBtr0273400	1470	1266.16	0	0
FBtr0308320	3151	2947.16	10.2127	0.114284
FBtr0070272	2139	1935.16	1	0.0170424
FBtr0070277	2149	1945.16	45.9102	0.778397
FBtr0302174	2966	2762.16	9.7394	0.116287
FBtr0302175	2336	2132.16	0	0
FBtr0345509	2972	2768.16	0.673736	0.00802687
FBtr0070278	1115	911.158	0	0
FBtr0344154	1247	1043.16	0	0
FBtr0070279	2210	2006.16	868.042	14.27
FBtr0330407	2218	2014.16	18.5966	0.3045
FBtr0333116	2047	1843.16	29.3613	0.525363
FBtr0070283	829	625.158	601.804	31.7477
FBtr0070284	6411	6207.16	6655.38	35.3612
FBtr0343517	6772	6568.16	24.8395	0.124723
FBtr0303587	5100	4896.16	3481.2	23.4488
FBtr0070285	457	257.885	0	0
FBtr0070289	1109	905.158	478.679	17.4408
FBtr0070290	1083	879.158	119086	4467.27
FBtr0339593	1035	831.158	1372.26	54.4501
FBtr0339594	1088	884.158	1205.81	44.9776
FBtr0070293	1466	1262.16	0	0
FBtr0070294	1564	1360.16	809	19.6158
FBtr0070295	1063	859.158	65	2.4951
FBtr0070296	1634	1430.16	1201	27.6953
FBtr0070298	870	666.158	15	0.742611
FBtr0070301	803	599.158	1	0.0550435
FBtr0070308	842	638.158	1069	55.2455
FBtr0114454	865	661.158	0	0
FBtr0070310	3419	3215.16	1463.41	15.011
FBtr0339600	3404	3200.16	0	0
FBtr0070311	2543	2339.16	3587.27	50.5768
FBtr0070312	1704	1500.16	2202.44	48.4188
FBtr0070313	1019	815.158	91.6643	3.70856
FBtr0331384	770	566.158	1055.22	61.4686
FBtr0070314	869	665.158	1151.69	57.1031
FBtr0332579	1076	872.158	223.306	8.44409
FBtr0070315	3459	3255.16	2002	20.2833
FBtr0070316	6065	5861.16	1208.73	6.80131
FBtr0344155	6716	6512.16	820.272	4.15413
FBtr0070317	3688	3484.16	2258.18	21.3751
FBtr0332586	3619	3415.16	114.816	1.10876
FBtr0070320	1648	1444.16	47.0378	1.07419
FBtr0070318	1791	1587.16	4759.01	98.8881
FBtr0070319	1747	1543.16	732.724	15.6595
FBtr0332587	1544	1340.16	0	0
FBtr0332588	1765	1561.16	198.224	4.18752
FBtr0070321	1105	901.158	805	29.4606
FBtr0070328	1097	893.158	26	0.960047
FBtr0070330	2070	1866.16	148.18	2.61872
FBtr0344156	2042	1838.16	751.686	13.4866
FBtr0070331	923	719.158	1199	54.9847
FBtr0070334	2436	2232.16	358.353	5.29461
FBtr0070335	2466	2262.16	76.3385	1.11293
FBtr0070336	2371	2167.16	0	0
FBtr0070337	2097	1893.16	2842.74	49.522
FBtr0300254	2317	2113.16	165.078	2.57635
FBtr0300255	2521	2317.16	135.621	1.93028
FBtr0302435	2356	2152.16	0	0
FBtr0070338	920	716.158	93	4.28274
FBtr0070339	2664	2460.16	2859	38.3264
FBtr0070340	5230	5026.16	36	0.236218
FBtr0070341	2941	2737.16	2.61168	0.0314678
FBtr0303043	3782	3578.16	71.5331	0.659318
FBtr0303044	2939	2735.16	8.47627	0.102204
FBtr0303045	3780	3576.16	170.301	1.57053
FBtr0310288	2937	2733.16	15.8039	0.190698
FBtr0310289	3014	2810.16	37.2742	0.437447
FBtr0070342	583	379.966	37.817	3.28238
FBtr0310443	897	693.158	64.183	3.05376
FBtr0070345	4868	4664.16	231.662	1.63806
FBtr0070343	3511	3307.16	0	0
FBtr0070344	3511	3307.16	4378.93	43.6677
FBtr0303048	3306	3102.16	339.248	3.60663
FBtr0310657	3877	3673.16	0	0
FBtr0310658	3369	3165.16	148.291	1.54513
FBtr0310659	3351	3147.16	0.00251893	2.63964e-05
FBtr0333801	3516	3312.16	54.3792	0.541463
FBtr0333802	3366	3162.16	2.93563e-06	3.06171e-08
FBtr0070346	2515	2311.16	2489.05	35.5182
FBtr0333803	3038	2834.16	45.3109	0.527261
FBtr0070347	1203	999.158	1665	54.9575
FBtr0070349	2341	2137.16	646	9.9688
FBtr0070350	2297	2093.16	1832.82	28.8779
FBtr0070351	2447	2243.16	598.175	8.7946
FBtr0070352	4251	4047.16	30.6464	0.249734
FBtr0070353	3221	3017.16	941.533	10.2916
FBtr0070354	3670	3466.16	131.848	1.25451
FBtr0332580	3883	3679.16	175.664	1.57464
FBtr0305583	3935	3731.16	843.308	7.45401
FBtr0070355	937	733.158	15	0.674747
FBtr0070362	8251	8047.16	2042.17	8.36943
FBtr0070363	8314	8110.16	6.84331e-05	2.78281e-07
FBtr0070364	501	300.001	539.085	59.2628
FBtr0331385	598	394.928	30.4754	2.54494
FBtr0070365	508	306.756	970.738	104.365
FBtr0345510	920	716.158	93.9965	4.32863
FBtr0070366	1100	896.158	2350.96	86.5183
FBtr0339601	1097	893.158	289.039	10.6727
FBtr0070367	2158	1954.16	228.847	3.86219
FBtr0070368	1972	1768.16	886.748	16.5396
FBtr0070369	3451	3247.16	5793.11	58.8377
FBtr0070370	3385	3181.16	1291.16	13.3857
FBtr0339494	3511	3307.16	183.731	1.83221
FBtr0070371	2170	1966.16	2206.07	37.0039
FBtr0301926	2167	1963.16	2571.93	43.2067
FBtr0070372	720	516.315	555.815	35.5028
FBtr0333511	802	598.158	241.185	13.2978
FBtr0309970	849	645.158	0	0
FBtr0070375	1240	1036.16	410.16	13.0549
FBtr0070376	2970	2766.16	1394.3	16.6237
FBtr0070377	2860	2656.16	222.877	2.76731
FBtr0333754	3825	3621.16	122.823	1.11861
FBtr0333755	2191	1987.16	0	0
FBtr0070378	4560	4356.16	2783.9	21.0765
FBtr0070379	7664	7460.16	128.946	0.570044
FBtr0070380	4106	3902.16	1108.92	9.37225
FBtr0333260	7119	6915.16	6.22765	0.0297009
FBtr0070381	1862	1658.16	444.837	8.84754
FBtr0070382	1966	1762.16	23.1166	0.432639
FBtr0070383	1987	1783.16	31.0461	0.574201
FBtr0070384	1895	1691.16	37.2502	0.726426
FBtr0331410	1668	1464.16	5406.36	121.777
FBtr0070385	1948	1744.16	18.9582	0.358475
FBtr0310076	1783	1579.16	0	0
FBtr0310500	1786	1582.16	0	0
FBtr0310501	1672	1468.16	615.042	13.8159
FBtr0070386	512	310.663	1381.02	146.608
FBtr0343049	807	603.158	98.9815	5.41216
FBtr0070387	1582	1378.16	35.9242	0.859677
FBtr0345609	2467	2263.16	115.076	1.67694
FBtr0070388	1822	1618.16	210	4.28002
FBtr0070389	1638	1434.16	930.4	21.3954
FBtr0070390	372	180.53	942.423	172.164
FBtr0345607	534	331.956	6.57661	0.653385
FBtr0290085	561	358.336	7.93064	0.729902
FBtr0342764	680	476.416	8.06936	0.558599
FBtr0070392	891	687.158	1495.42	71.772
FBtr0345608	1100	896.158	8.57567	0.315596
FBtr0070393	2955	2751.16	2821.29	33.8205
FBtr0342765	2738	2534.16	8.707	0.113314
FBtr0332380	893	689.158	1	0.0478551
FBtr0342766	12119	11915.2	0.269577	0.000746157
FBtr0344153	12023	11819.2	2710.4	7.56299
FBtr0332381	12107	11903.2	6.34958	0.0175926
FBtr0070396	3052	2848.16	2911	33.7074
FBtr0070397	1267	1063.16	7	0.217144
FBtr0070398	1921	1717.16	4149.24	79.6904
FBtr0070399	1643	1439.16	23	0.527068
FBtr0070401	3247	3043.16	2013.31	21.8189
FBtr0344007	4247	4043.16	64.6905	0.527676
FBtr0070402	4269	4065.16	1867.93	15.1541
FBtr0070403	5069	4865.16	265.236	1.79797
FBtr0070404	4599	4395.16	589.315	4.42201
FBtr0307284	4955	4751.16	627.458	4.35544
FBtr0307285	4207	4003.16	0.0599164	0.000493617
FBtr0343597	4653	4449.16	0	0
FBtr0070405	653	449.508	1111.72	81.5655
FBtr0333730	597	393.928	176.276	14.7578
FBtr0070406	1908	1704.16	642.673	12.4373
FBtr0303997	634	430.64	0	0
FBtr0303998	941	737.158	3.53406	0.15811
FBtr0333731	702	498.416	2.79331	0.184831
FBtr0070407	952	748.158	23.1772	1.02168
FBtr0308937	1385	1181.16	21.8228	0.609325
FBtr0070408	2079	1875.16	1205.17	21.1961
FBtr0332962	5515	5311.16	1671.83	10.3813
FBtr0070411	3175	2971.16	9784.72	108.61
FBtr0300792	3387	3183.16	3870.28	40.0988
FBtr0070412	2656	2452.16	3136.33	42.1813
FBtr0346648	2928	2724.16	1128.23	13.6588
FBtr0300793	2717	2513.16	309.646	4.06343
FBtr0345315	2606	2402.16	1512.55	20.7661
FBtr0070414	2163	1959.16	1256	21.143
FBtr0345316	1791	1587.16	0	0
FBtr0070415	3979	3775.16	1.23293	0.0107709
FBtr0340208	3982	3778.16	0.463729	0.00404792
FBtr0474141	3979	3775.16	1.23293	0.0107709
FBtr0474238	3979	3775.16	1.23293	0.0107709
FBtr0070417	1247	1043.16	101.201	3.19949
FBtr0342768	1113	909.158	4.79934	0.174096
FBtr0070418	2332	2128.16	2152	33.3492
FBtr0070419	3927	3723.16	359.921	3.18818
FBtr0342769	3741	3537.16	1857.06	17.3149
FBtr0070420	3766	3562.16	3016.7	27.9297
FBtr0342770	3744	3540.16	0	0
FBtr0342771	3838	3634.16	51.3017	0.465559
FBtr0070423	1681	1477.16	37	0.82608
FBtr0070424	1109	905.158	0	0
FBtr0331383	1766	1562.16	290	6.12238
FBtr0070425	1791	1587.16	4112.6	85.4562
FBtr0070426	1685	1481.16	40	0.890647
FBtr0310077	1694	1490.16	0	0
FBtr0070427	1644	1440.16	0	0
FBtr0070428	1685	1481.16	12	0.267194
FBtr0070429	6768	6564.16	1150.16	5.77863
FBtr0070430	5067	4863.16	2897.33	19.6484
FBtr0344159	6939	6735.16	866.512	4.24301
FBtr0070431	748	544.158	1299.39	78.7521
FBtr0070432	5940	5736.16	145.609	0.83717
FBtr0301515	5724	5520.16	258.058	1.54175
FBtr0343589	5695	5491.16	0.0253868	0.000152472
FBtr0345598	6048	5844.16	0	0
FBtr0070433	5821	5617.16	881.429	5.17509
FBtr0112843	6020	5816.16	226.879	1.28649
FBtr0070434	1936	1732.16	2860.84	54.4695
FBtr0070437	958	754.158	0	0
FBtr0302447	990	786.158	0	0
FBtr0302448	938	734.158	0.0012027	5.40274e-05
FBtr0302449	934	730.158	1.00216	0.0452654
FBtr0070438	1634	1430.16	1139.94	26.2871
FBtr0308566	1973	1769.16	2411.06	44.9458
FBtr0070439	3595	3391.16	2340.83	22.7651
FBtr0070440	3303	3099.16	1011.86	10.7677
FBtr0340091	2946	2742.16	18.3157	0.220281
FBtr0070442	2045	1841.16	997.993	17.8765
FBtr0340092	2427	2223.16	0	0
FBtr0300708	2334	2130.16	8.00689	0.123965
FBtr0070445	1280	1076.16	55.3172	1.69524
FBtr0307159	1798	1594.16	344.683	7.13075
FBtr0070446	1027	823.158	8437	338.028
FBtr0070447	1762	1558.16	1030.52	21.8117
FBtr0070448	4527	4323.16	1266.28	9.65997
FBtr0340093	4090	3886.16	2126.72	18.0483
FBtr0300707	1524	1320.16	76.6435	1.91468
FBtr0308567	1389	1185.16	414.353	11.5303
FBtr0339401	1138	934.158	14.0332	0.49543
FBtr0345706	1294	1090.16	0	0
FBtr0070457	4223	4019.16	1493.03	12.2512
FBtr0070458	2721	2517.16	146.143	1.91477
FBtr0303886	4316	4112.16	64.1832	0.514752
FBtr0303887	4509	4305.16	134.059	1.02696
FBtr0334883	4544	4340.16	153.587	1.16707
FBtr0070459	663	459.463	1637.84	117.562
